id,y,e,L,V,c
ddcaACP_c,0.0,0.0,0.0,0.0,0.0
myrsACP_c,0.0,0.0,0.0,0.0,0.0
palmACP_c,0.0,0.0,0.0,0.0,0.0
ocdcaACP_c,0.0,0.0,0.0,0.0,0.0
acACP_c,0.0,0.0,0.0,0.0,0.0
h_m,0.0,0.0,0.0,0.0,0.0
nadh_m,0.0,0.0,0.0,0.0,0.0
nadph_m,0.0,0.0,0.0,0.0,0.0
h2o_m,0.0,0.0,0.0,0.0,0.0
nad_m,0.0,0.0,0.0,0.0,0.0
nadp_m,0.0,0.0,0.0,0.0,0.0
accoa_c,0.0,0.0,0.0,0.0,0.0
atp_c,29.93484474,2.24868,0.0,0.0,0.0
hco3_c,0.0,0.0,0.0,0.0,0.0
adp_c,-29.83030991,-2.24868,0.0,0.0,0.0
pi_c,-29.83030991,-2.24868,0.0,0.0,0.0
occoa_x,0.0,0.0,0.0,0.0,0.0
h2o_x,0.0,0.0,0.0,0.0,0.0
h_x,0.0,0.0,0.0,0.0,0.0
coa_x,0.0,0.0,0.0,0.0,0.0
dolmanp_r,0.0,0.0,0.0,0.0,0.0
memgacpail_cho_r,0.0,0.0,0.0,0.0,0.0
dolp_r,0.0,0.0,0.0,0.0,0.0
m2emgacpail_cho_r,0.0,0.0,0.0,0.0,0.0
gacpail_cho_r,0.0,0.0,0.0,0.0,0.0
mgacpail_cho_r,0.0,0.0,0.0,0.0,0.0
m2gacpail_cho_r,0.0,0.0,0.0,0.0,0.0
m3gacpail_cho_r,0.0,0.0,0.0,0.0,0.0
emgacpail_cho_r,0.0,0.0,0.0,0.0,0.0
em2emgacpail_cho_r,0.0,0.0,0.0,0.0,0.0
gpi_cho_r,0.0,0.0,0.0,0.0,0.0
doldp_r,0.0,0.0,0.0,0.0,0.0
xu1p_D_c,0.0,0.0,0.0,0.0,0.0
dhap_c,0.0,0.0,0.0,0.0,0.0
gcald_c,0.0,0.0,0.0,0.0,0.0
glyclt_c,0.0,0.0,0.0,0.0,0.0
glx_c,0.0,0.0,0.0,0.0,0.0
oxa_c,0.0,0.0,0.0,0.0,0.0
glx_x,0.0,0.0,0.0,0.0,0.0
o2_x,0.0,0.0,0.0,0.0,0.0
h2o2_x,0.0,0.0,0.0,0.0,0.0
glyc_R_c,0.0,0.0,0.0,0.0,0.0
2pg_c,0.0,0.0,0.0,0.0,0.0
hpyr_c,0.0,0.0,0.0,0.0,0.0
glyc_S_c,0.0,0.0,0.0,0.0,0.0
dkmpp_c,0.0,0.0,0.0,0.0,0.0
for_c,0.0,0.0,0.0,0.0,0.0
co_c,0.0,0.0,0.0,0.0,0.0
met_L_c,0.105583014,0.0,0.0,0.0,0.0
2kmb_c,0.0,0.0,0.0,0.0,0.0
chito2pdol_c,0.0,0.0,0.0,0.0,0.0
gdpmann_c,0.0,0.0,0.0,0.0,0.0
mpdol_c,0.0,0.0,0.0,0.0,0.0
gdp_c,0.0,0.0,0.0,0.0,0.0
g3m8mpdol_r,0.0,0.0,0.0,0.0,0.0
Asn_X_Ser_Thr_r,0.0,0.0,0.0,0.0,0.0
g3m8masn_r,0.0,0.0,0.0,0.0,0.0
m8mpdol_r,0.0,0.0,0.0,0.0,0.0
dolglcp_r,0.0,0.0,0.0,0.0,0.0
g1m8mpdol_r,0.0,0.0,0.0,0.0,0.0
g2m8mpdol_r,0.0,0.0,0.0,0.0,0.0
m4mpdol_r,0.0,0.0,0.0,0.0,0.0
m5mpdol_r,0.0,0.0,0.0,0.0,0.0
m6mpdol_r,0.0,0.0,0.0,0.0,0.0
m7mpdol_r,0.0,0.0,0.0,0.0,0.0
n2m2masn_g,0.0,0.0,0.0,0.0,0.0
uacgam_g,0.0,0.0,0.0,0.0,0.0
n3m2masn_g,0.0,0.0,0.0,0.0,0.0
h_g,0.0,0.0,0.0,0.0,0.0
udp_g,0.0,0.0,0.0,0.0,0.0
n4m2masn_g,0.0,0.0,0.0,0.0,0.0
man_r,0.0,0.0,0.0,0.0,0.0
g1m8masn_r,0.0,0.0,0.0,0.0,0.0
l2fn2m2masn_g,0.0,0.0,0.0,0.0,0.0
cmpacna_g,0.0,0.0,0.0,0.0,0.0
s2l2fn2m2masn_g,0.0,0.0,0.0,0.0,0.0
cmp_g,0.0,0.0,0.0,0.0,0.0
pacald_c,0.0,0.0,0.0,0.0,0.0
pac_c,0.0,0.0,0.0,0.0,0.0
phaccoa_c,0.0,0.0,0.0,0.0,0.0
gly_c,0.476689682,0.0,0.0,0.0,0.0
phe_L_c,0.186720668,0.0,0.0,0.0,0.0
akg_c,0.0,0.0,0.0,0.0,0.0
glu_L_c,0.303246063,0.0,0.0,0.0,0.0
phe_L_m,0.0,0.0,0.0,0.0,0.0
akg_m,0.0,0.0,0.0,0.0,0.0
glu_L_m,0.0,0.0,0.0,0.0,0.0
2hb_c,0.0,0.0,0.0,0.0,0.0
2obut_c,0.0,0.0,0.0,0.0,0.0
ppa_c,0.0,0.0,0.0,0.0,0.0
ppcoa_c,0.0,0.0,0.0,0.0,0.0
ppa_m,0.0,0.0,0.0,0.0,0.0
coa_m,0.0,0.0,0.0,0.0,0.0
atp_m,0.0,0.0,0.0,0.0,0.0
ppi_m,0.0,0.0,0.0,0.0,0.0
ppcoa_m,0.0,0.0,0.0,0.0,0.0
amp_m,0.0,0.0,0.0,0.0,0.0
amp_c,0.0,0.0,0.0,0.0,0.0
ppi_c,-0.512102766,0.0,0.0,0.0,0.0
fad_m,0.0,0.0,0.0,0.0,0.0
prpncoa_m,0.0,0.0,0.0,0.0,0.0
fadh2_m,0.0,0.0,0.0,0.0,0.0
2hb_e,0.0,0.0,-1000.0,1000.0,0.0
h_e,0.0,0.0,-1000.0,1000.0,100000.0
na1_e,0.0,0.0,0.0,0.0,100000.0
hco3_e,0.0,0.0,-1000.0,1000.0,0.0
na1_c,0.0,0.0,0.0,0.0,0.0
4hpro_LT_c,0.0,0.0,0.0,0.0,0.0
ala_L_e,0.0,0.0,-1000.0,1000.0,0.280615
ala_L_c,0.449091248,0.0,0.0,0.0,0.0
4hpro_LT_e,0.0,0.0,-1000.0,0.05,0.0
5adtststeroneglc_c,0.0,0.0,0.0,0.0,0.0
oh1_c,0.0,0.0,0.0,0.0,0.0
oh1_e,0.0,0.0,0.0,0.0,0.0
4abut_c,0.0,0.0,0.0,0.0,0.0
acac_e,0.0,0.0,-1000.0,1000.0,0.0
acac_c,0.0,0.0,0.0,0.0,0.0
ac_e,0.0,0.0,-1000.0,1000.0,0.0
ac_c,0.0,0.0,0.0,0.0,0.0
ade_e,0.0,0.0,-1000.0,1000.0,0.0
ade_c,0.0,0.0,0.0,0.0,0.0
adn_e,0.0,0.0,-1000.0,1000.0,0.0
adn_c,0.0,0.0,0.0,0.0,0.0
adprib_c,0.0,0.0,0.0,0.0,0.0
asn_L_c,0.208891647,0.0,0.0,0.0,0.0
asn_L_e,0.0,0.0,-1000.0,1000.0,0.189157
cys_L_c,0.083083581,0.0,0.0,0.0,0.0
cys_L_e,0.0,0.0,-1000.0,0.05,0.0
gln_L_c,0.353206758,0.0,0.0,0.0,0.0
gln_L_e,0.0,0.0,-1000.0,0.05,3.996168
ser_L_c,0.32299952,0.0,0.0,0.0,0.0
ser_L_e,0.0,0.0,-1000.0,1000.0,0.396601
thr_L_c,0.255370881,0.0,0.0,0.0,0.0
thr_L_e,0.0,0.0,-1000.0,0.05,0.797515
arg_L_e,0.0,0.0,-1000.0,0.05,0.398728
arg_L_c,0.24692711,0.0,0.0,0.0,0.0
ascb_L_e,0.0,0.0,-1000.0,1000.0,0.0
ascb_L_c,0.0,0.0,0.0,0.0,0.0
phe_L_e,0.0,0.0,-1000.0,0.05,0.39954
k_c,0.0,0.0,0.0,0.0,0.0
asp_D_e,0.0,0.0,-1000.0,1000.0,0.0
k_e,0.0,0.0,0.0,0.0,100000.0
asp_D_c,0.0,0.0,0.0,0.0,0.0
asp_L_e,0.0,0.0,-1000.0,1000.0,0.225394
asp_L_c,0.257573151,0.0,0.0,0.0,0.0
pro_L_e,0.0,0.0,-1000.0,1000.0,0.347433
bildglcur_e,0.0,0.0,-1000.0,1000.0,0.0
bildglcur_c,0.0,0.0,0.0,0.0,0.0
bilglcur_e,0.0,0.0,0.0,0.0,0.0
bilglcur_c,0.0,0.0,0.0,0.0,0.0
bilirub_e,0.0,0.0,-1000.0,1000.0,0.0
bilirub_c,0.0,0.0,0.0,0.0,0.0
btn_e,0.0,0.0,-1000.0,0.05,5.3e-5
btn_c,0.0,0.0,0.0,0.0,0.0
but_e,0.0,0.0,-1000.0,1000.0,0.0
but_c,0.0,0.0,0.0,0.0,0.0
cholate_e,0.0,0.0,-1000.0,1000.0,0.0
cholate_c,0.0,0.0,0.0,0.0,0.0
xolest2_cho_e,0.0,0.0,-1000.0,1000.0,0.0
h2o_e,0.0,0.0,-1000.0,1000.0,100000.0
chsterol_e,0.0,0.0,-1000.0,1000.0,0.0
Rtotal_e,0.0,0.0,-1000.0,1000.0,0.0
chol_c,0.0,0.0,0.0,0.0,0.0
cit_c,0.0,0.0,0.0,0.0,0.0
cl_e,0.0,0.0,-1000.0,1000.0,100000.0
cl_c,0.0,0.0,0.0,0.0,0.0
for_e,0.0,0.0,-1000.0,1000.0,0.0
co2_e,0.0,0.0,-1000.0,1000.0,0.0
crn_e,0.0,0.0,-1000.0,1000.0,0.0
crn_c,0.0,0.0,0.0,0.0,0.0
gly_e,0.0,0.0,-1000.0,1000.0,0.39968
Lcystin_e,0.0,0.0,-1000.0,1000.0,0.519472
glu_L_e,0.0,0.0,-1000.0,1000.0,0.509753
Lcystin_c,0.0,0.0,0.0,0.0,0.0
cytd_e,0.0,0.0,-1000.0,1000.0,0.0
cytd_c,0.0,0.0,0.0,0.0,0.0
lac_D_c,0.0,0.0,0.0,0.0,0.0
ala_D_e,0.0,0.0,-1000.0,1000.0,0.0
ala_D_c,0.0,0.0,0.0,0.0,0.0
dheas_e,0.0,0.0,-1000.0,1000.0,0.0
dheas_c,0.0,0.0,0.0,0.0,0.0
dopa_e,0.0,0.0,-1000.0,1000.0,0.0
dopa_c,0.0,0.0,0.0,0.0,0.0
estrones_e,0.0,0.0,-1000.0,1000.0,0.0
estrones_c,0.0,0.0,0.0,0.0,0.0
hdca_e,0.0,0.0,-1000.0,1000.0,0.0
ocdcea_c,0.0,0.0,0.0,0.0,0.0
ocdcea_e,0.0,0.0,-1000.0,1000.0,0.0
ocdca_c,0.0,0.0,0.0,0.0,0.0
ocdca_e,0.0,0.0,-1000.0,1000.0,0.0
arach_c,0.0,0.0,0.0,0.0,0.0
arach_e,0.0,0.0,-1000.0,1000.0,0.0
arachd_c,0.0,0.0,0.0,0.0,0.0
arachd_e,0.0,0.0,-1000.0,1000.0,0.0
adrn_c,0.0,0.0,0.0,0.0,0.0
adrn_e,0.0,0.0,-1000.0,1000.0,0.0
crvnc_c,0.0,0.0,0.0,0.0,0.0
crvnc_e,0.0,0.0,-1000.0,1000.0,0.0
lgnc_c,0.0,0.0,0.0,0.0,0.0
lgnc_e,0.0,0.0,-1000.0,1000.0,0.0
nrvnc_c,0.0,0.0,0.0,0.0,0.0
nrvnc_e,0.0,0.0,-1000.0,1000.0,0.0
fe2_e,0.0,0.0,-1000.0,1000.0,100000.0
fe2_c,0.0,0.0,0.0,0.0,0.0
fru_c,0.0,0.0,0.0,0.0,0.0
gal_e,0.0,0.0,-1000.0,1000.0,0.0
gal_c,0.0,0.0,0.0,0.0,0.0
gchola_e,0.0,0.0,-1000.0,1000.0,0.0
gchola_c,0.0,0.0,0.0,0.0,0.0
glc_D_e,0.0,0.0,-1000.0,0.5,24.977798
glc_D_c,0.0,0.0,0.0,0.0,0.0
glyb_c,0.0,0.0,0.0,0.0,0.0
glyc_c,0.0,0.0,0.0,0.0,0.0
glyc_e,0.0,0.0,-1000.0,1000.0,0.0
gsn_c,0.0,0.0,0.0,0.0,0.0
gua_c,0.0,0.0,0.0,0.0,0.0
hdcea_e,0.0,0.0,-1000.0,1000.0,0.0
hdcea_c,0.0,0.0,0.0,0.0,0.0
his_L_e,0.0,0.0,-1000.0,0.05,0.200343
his_L_c,0.096216462,0.0,0.0,0.0,0.0
hista_e,0.0,0.0,-1000.0,1000.0,0.0
hista_c,0.0,0.0,0.0,0.0,0.0
hom_L_e,0.0,0.0,-1000.0,1000.0,0.0
hom_L_c,0.0,0.0,0.0,0.0,0.0
leu_L_c,0.427292446,0.0,0.0,0.0,0.0
ile_L_e,0.0,0.0,-1000.0,0.05,0.800488
leu_L_e,0.0,0.0,-1000.0,0.05,0.800427
ile_L_c,0.220171565,0.0,0.0,0.0,0.0
ins_e,0.0,0.0,-1000.0,1000.0,0.0
ins_c,0.0,0.0,0.0,0.0,0.0
inost_e,0.0,0.0,-1000.0,0.05,0.039964
inost_c,0.0,0.0,0.0,0.0,0.0
nh4_e,0.0,0.0,-1000.0,1000.0,0.0
lac_L_e,0.0,0.0,-1000.0,1000.0,0.0
lac_L_c,0.0,0.0,0.0,0.0,0.0
lac_L_m,0.0,0.0,0.0,0.0,0.0
leuktrC4_e,0.0,0.0,-1000.0,1000.0,0.0
leuktrC4_c,0.0,0.0,0.0,0.0,0.0
lys_L_e,0.0,0.0,-1000.0,0.05,0.799343
lys_L_c,0.387642487,0.0,0.0,0.0,0.0
man_c,0.0,0.0,0.0,0.0,0.0
met_L_e,0.0,0.0,-1000.0,0.05,0.201072
nrpphr_e,0.0,0.0,-1000.0,1000.0,0.0
nrpphr_c,0.0,0.0,0.0,0.0,0.0
orn_e,0.0,0.0,-1000.0,1000.0,0.0
orn_c,0.0,0.0,0.0,0.0,0.0
oxa_e,0.0,0.0,-1000.0,1000.0,0.0
pe_cho_e,0.0,0.0,-1000.0,1000.0,0.0
pe_cho_c,0.049863661,0.0,0.0,0.0,0.0
pheme_c,0.0,0.0,0.0,0.0,0.0
pi_e,0.0,0.0,-1000.0,1000.0,0.406565
pnto_R_e,0.0,0.0,-1000.0,1000.0,0.016786000000000002
pnto_R_c,0.0,0.0,0.0,0.0,0.0
pro_D_e,0.0,0.0,0.0,0.0,0.0
pro_D_c,0.0,0.0,0.0,0.0,0.0
prostgd2_e,0.0,0.0,-1000.0,1000.0,0.0
prostgd2_c,0.0,0.0,0.0,0.0,0.0
prostge1_e,0.0,0.0,-1000.0,1000.0,0.0
prostge1_c,0.0,0.0,0.0,0.0,0.0
prostge2_e,0.0,0.0,-1000.0,1000.0,0.0
prostge2_c,0.0,0.0,0.0,0.0,0.0
prostgf2_e,0.0,0.0,-1000.0,1000.0,0.0
prostgf2_c,0.0,0.0,0.0,0.0,0.0
ps_cho_e,0.0,0.0,-1000.0,1000.0,0.0
ps_cho_c,0.016457464,0.0,0.0,0.0,0.0
pyr_e,0.0,0.0,-1000.0,1000.0,0.0
pyr_c,0.0,0.0,0.0,0.0,0.0
val_L_c,0.32262571,0.0,0.0,0.0,0.0
val_L_e,0.0,0.0,-1000.0,0.05,0.8023899999999999
citr_L_c,0.0,0.0,0.0,0.0,0.0
citr_L_e,0.0,0.0,-1000.0,1000.0,0.0
trp_L_c,0.025172972,0.0,0.0,0.0,0.0
trp_L_e,0.0,0.0,-1000.0,0.05,0.078343
tyr_L_c,0.131253338,0.0,0.0,0.0,0.0
tyr_L_e,0.0,0.0,-1000.0,0.05,0.397374
so4_e,0.0,0.0,-1000.0,1000.0,100000.0
so4_c,0.0,0.0,0.0,0.0,0.0
srtn_e,0.0,0.0,-1000.0,1000.0,0.0
srtn_c,0.0,0.0,0.0,0.0,0.0
succ_c,0.0,0.0,0.0,0.0,0.0
taur_e,0.0,0.0,-1000.0,1000.0,0.0
taur_c,0.0,0.0,0.0,0.0,0.0
tchola_e,0.0,0.0,-1000.0,1000.0,0.0
tchola_c,0.0,0.0,0.0,0.0,0.0
thymd_c,0.0,0.0,0.0,0.0,0.0
thmmp_c,0.0,0.0,0.0,0.0,0.0
thm_e,0.0,0.0,-1000.0,1000.0,0.0
thm_c,0.0,0.0,0.0,0.0,0.0
thmtp_c,0.0,0.0,0.0,0.0,0.0
thym_c,0.0,0.0,0.0,0.0,0.0
thyox_L_e,0.0,0.0,-1000.0,1000.0,0.0
thyox_L_c,0.0,0.0,0.0,0.0,0.0
triodthy_e,0.0,0.0,-1000.0,1000.0,0.0
triodthy_c,0.0,0.0,0.0,0.0,0.0
tsul_c,0.0,0.0,0.0,0.0,0.0
ttdca_e,0.0,0.0,-1000.0,1000.0,0.0
ura_c,0.0,0.0,0.0,0.0,0.0
urea_e,0.0,0.0,-1000.0,1000.0,0.0
uri_e,0.0,0.0,-1000.0,1000.0,0.0
uri_c,0.0,0.0,0.0,0.0,0.0
xyl_D_c,0.0,0.0,0.0,0.0,0.0
gly_m,0.0,0.0,0.0,0.0,0.0
arg_L_m,0.0,0.0,0.0,0.0,0.0
orn_m,0.0,0.0,0.0,0.0,0.0
co2_m,0.0,0.0,0.0,0.0,0.0
hco3_m,0.0,0.0,0.0,0.0,0.0
dhdascb_c,0.0,0.0,0.0,0.0,0.0
glac_c,0.0,0.0,0.0,0.0,0.0
guln_r,0.0,0.0,0.0,0.0,0.0
gthrd_c,0.0,0.0,0.0,0.0,0.0
gthox_c,0.0,0.0,0.0,0.0,0.0
vitd3_c,0.0,0.0,0.0,0.0,0.0
25hvitd3_c,0.0,0.0,0.0,0.0,0.0
o2_n,0.0,0.0,0.0,0.0,0.0
h2o2_n,0.0,0.0,0.0,0.0,0.0
leuktrA4_c,0.0,0.0,0.0,0.0,0.0
h_n,0.0,0.0,0.0,0.0,0.0
h2o_n,0.0,0.0,0.0,0.0,0.0
fadh2_r,0.0,0.0,0.0,0.0,0.0
arachd_r,0.0,0.0,0.0,0.0,0.0
fad_r,0.0,0.0,0.0,0.0,0.0
leuktrB4_c,0.0,0.0,0.0,0.0,0.0
nadp_x,0.0,0.0,0.0,0.0,0.0
nadph_x,0.0,0.0,0.0,0.0,0.0
gthrd_m,0.0,0.0,0.0,0.0,0.0
gthrd_r,0.0,0.0,0.0,0.0,0.0
xol7ah2_c,0.0,0.0,0.0,0.0,0.0
cholcoa_x,0.0,0.0,0.0,0.0,0.0
tchola_x,0.0,0.0,0.0,0.0,0.0
chsterol_r,0.0,0.0,0.0,0.0,0.0
cholcoads_x,0.0,0.0,0.0,0.0,0.0
cholcoaone_x,0.0,0.0,0.0,0.0,0.0
o2_m,0.0,0.0,0.0,0.0,0.0
chsterol_m,0.0,0.0,0.0,0.0,0.0
xol27oh_m,0.0,0.0,0.0,0.0,0.0
xol27oh_r,0.0,0.0,0.0,0.0,0.0
xol7ah2al_c,0.0,0.0,0.0,0.0,0.0
HC01459_x,0.0,0.0,0.0,0.0,0.0
nad_x,0.0,0.0,0.0,0.0,0.0
nadh_x,0.0,0.0,0.0,0.0,0.0
xol7aone_m,0.0,0.0,0.0,0.0,0.0
xol7ah2_m,0.0,0.0,0.0,0.0,0.0
cholcoa_c,0.0,0.0,0.0,0.0,0.0
dcholcoa_c,0.0,0.0,0.0,0.0,0.0
C02528_c,0.0,0.0,0.0,0.0,0.0
tdchola_c,0.0,0.0,0.0,0.0,0.0
ppcoa_x,0.0,0.0,0.0,0.0,0.0
coa_r,0.0,0.0,0.0,0.0,0.0
atp_r,0.0,0.0,0.0,0.0,0.0
ppi_r,0.0,0.0,0.0,0.0,0.0
amp_r,0.0,0.0,0.0,0.0,0.0
accoa_x,0.0,0.0,0.0,0.0,0.0
aacoa_x,0.0,0.0,0.0,0.0,0.0
nad_r,0.0,0.0,0.0,0.0,0.0
4mzym_int1_r,0.0,0.0,0.0,0.0,0.0
nadh_r,0.0,0.0,0.0,0.0,0.0
4mzym_int2_r,0.0,0.0,0.0,0.0,0.0
co2_r,0.0,0.0,0.0,0.0,0.0
zym_int2_r,0.0,0.0,0.0,0.0,0.0
zymst_r,0.0,0.0,0.0,0.0,0.0
chsterol_c,0.086970857,0.0,0.0,0.0,0.0
Rtotalcoa_c,0.0,0.0,0.0,0.0,0.0
xolest2_cho_c,0.0,0.0,0.0,0.0,0.0
hmgcoa_m,0.0,0.0,0.0,0.0,0.0
accoa_m,0.0,0.0,0.0,0.0,0.0
acac_m,0.0,0.0,0.0,0.0,0.0
hmgcoa_x,0.0,0.0,0.0,0.0,0.0
acac_x,0.0,0.0,0.0,0.0,0.0
hmgcoa_c,0.0,0.0,0.0,0.0,0.0
accoa_r,0.0,0.0,0.0,0.0,0.0
R1coa_cho_c,0.0,0.0,0.0,0.0,0.0
xolest_cho_c,0.055982301,0.0,0.0,0.0,0.0
R2coa_cho_c,0.0,0.0,0.0,0.0,0.0
udpacgal_g,0.0,0.0,0.0,0.0,0.0
udpgal_g,0.0,0.0,0.0,0.0,0.0
h2o_g,0.0,0.0,0.0,0.0,0.0
paps_g,0.0,0.0,0.0,0.0,0.0
pap_g,0.0,0.0,0.0,0.0,0.0
udp_r,0.0,0.0,0.0,0.0,0.0
ptth_c,0.0,0.0,0.0,0.0,0.0
cysam_c,0.0,0.0,0.0,0.0,0.0
pmtcoa_c,0.0,0.0,0.0,0.0,0.0
hdcoa_c,0.0,0.0,0.0,0.0,0.0
lnlncacoa_c,0.0,0.0,0.0,0.0,0.0
strdnccoa_c,0.0,0.0,0.0,0.0,0.0
stcoa_c,0.0,0.0,0.0,0.0,0.0
odecoa_c,0.0,0.0,0.0,0.0,0.0
vacccoa_c,0.0,0.0,0.0,0.0,0.0
od2coa_c,0.0,0.0,0.0,0.0,0.0
lnlccoa_c,0.0,0.0,0.0,0.0,0.0
lnlncgcoa_c,0.0,0.0,0.0,0.0,0.0
dlnlcgcoa_c,0.0,0.0,0.0,0.0,0.0
arachdcoa_c,0.0,0.0,0.0,0.0,0.0
eicostetcoa_c,0.0,0.0,0.0,0.0,0.0
tmndnccoa_c,0.0,0.0,0.0,0.0,0.0
tetpent3coa_c,0.0,0.0,0.0,0.0,0.0
tethex3coa_c,0.0,0.0,0.0,0.0,0.0
adrncoa_c,0.0,0.0,0.0,0.0,0.0
clpndcoa_c,0.0,0.0,0.0,0.0,0.0
stcoa_m,0.0,0.0,0.0,0.0,0.0
stcoa_x,0.0,0.0,0.0,0.0,0.0
arachcoa_c,0.0,0.0,0.0,0.0,0.0
arachcoa_m,0.0,0.0,0.0,0.0,0.0
arachcoa_x,0.0,0.0,0.0,0.0,0.0
docoscoa_c,0.0,0.0,0.0,0.0,0.0
docosac_c,0.0,0.0,0.0,0.0,0.0
lgnccoa_c,0.0,0.0,0.0,0.0,0.0
lgnccoa_x,0.0,0.0,0.0,0.0,0.0
malcoa_r,0.0,0.0,0.0,0.0,0.0
odecoa_r,0.0,0.0,0.0,0.0,0.0
hdcoa_r,0.0,0.0,0.0,0.0,0.0
CE5160_r,0.0,0.0,0.0,0.0,0.0
man1p_c,0.0,0.0,0.0,0.0,0.0
gtp_c,0.102935005,0.0,0.0,0.0,0.0
glyald_c,0.0,0.0,0.0,0.0,0.0
g3p_c,0.0,0.0,0.0,0.0,0.0
gal1p_c,0.0,0.0,0.0,0.0,0.0
utp_c,0.085375963,0.0,0.0,0.0,0.0
udpgal_c,0.0,0.0,0.0,0.0,0.0
lcts_e,0.0,0.0,-1000.0,1000.0,0.0
h2o_l,0.0,0.0,0.0,0.0,0.0
glc_D_l,0.0,0.0,0.0,0.0,0.0
gal_l,0.0,0.0,0.0,0.0,0.0
udpg_c,0.0,0.0,0.0,0.0,0.0
ksi_e,0.0,0.0,-1000.0,1000.0,0.0
ksi_deg7_l,0.0,0.0,0.0,0.0,0.0
acgam_l,0.0,0.0,0.0,0.0,0.0
ksi_deg8_l,0.0,0.0,0.0,0.0,0.0
ksi_deg10_l,0.0,0.0,0.0,0.0,0.0
ksi_deg11_l,0.0,0.0,0.0,0.0,0.0
ksi_deg13_l,0.0,0.0,0.0,0.0,0.0
ksi_deg14_l,0.0,0.0,0.0,0.0,0.0
ksi_deg16_l,0.0,0.0,0.0,0.0,0.0
ksi_deg17_l,0.0,0.0,0.0,0.0,0.0
ksi_deg19_l,0.0,0.0,0.0,0.0,0.0
ksi_deg20_l,0.0,0.0,0.0,0.0,0.0
ksi_deg22_l,0.0,0.0,0.0,0.0,0.0
ksi_deg23_l,0.0,0.0,0.0,0.0,0.0
ksi_deg25_l,0.0,0.0,0.0,0.0,0.0
ksi_deg26_l,0.0,0.0,0.0,0.0,0.0
ksi_deg28_l,0.0,0.0,0.0,0.0,0.0
ksi_deg29_l,0.0,0.0,0.0,0.0,0.0
ksi_deg31_l,0.0,0.0,0.0,0.0,0.0
ksi_deg32_l,0.0,0.0,0.0,0.0,0.0
ksi_deg34_l,0.0,0.0,0.0,0.0,0.0
ksi_deg35_l,0.0,0.0,0.0,0.0,0.0
ksi_deg37_l,0.0,0.0,0.0,0.0,0.0
ksi_deg38_l,0.0,0.0,0.0,0.0,0.0
ksi_deg39_l,0.0,0.0,0.0,0.0,0.0
ksi_deg40_l,0.0,0.0,0.0,0.0,0.0
ksi_deg41_l,0.0,0.0,0.0,0.0,0.0
m2mn_l,0.0,0.0,0.0,0.0,0.0
ksii_core2_deg4_l,0.0,0.0,0.0,0.0,0.0
ksii_core2_deg5_l,0.0,0.0,0.0,0.0,0.0
ksii_core2_deg7_l,0.0,0.0,0.0,0.0,0.0
ksii_core2_deg8_l,0.0,0.0,0.0,0.0,0.0
ksii_core2_deg9_l,0.0,0.0,0.0,0.0,0.0
f1a_l,0.0,0.0,0.0,0.0,0.0
ksii_core4_deg4_l,0.0,0.0,0.0,0.0,0.0
ipdp_c,0.0,0.0,0.0,0.0,0.0
frdp_c,0.0,0.0,0.0,0.0,0.0
dolichol_c,0.0,0.0,0.0,0.0,0.0
ctp_c,0.097355132,0.0,0.0,0.0,0.0
dolp_c,0.0,0.0,0.0,0.0,0.0
cdp_c,0.0,0.0,0.0,0.0,0.0
